time_hours,B_magnitude,He,Bz,E1,E2,MPS_LO
6.1750,88.8534,-26.329,80.9044,13043.7,6070.02,647002
6.1917,88.7049,-26.3093,80.7402,13140.7,6103.67,631513
6.2083,88.398,-26.2498,80.4259,13133.8,6047.88,608396
6.2250,88.2274,-26.215,80.2402,13204.2,5968.95,648057
6.2417,88.0293,-26.1293,80.0472,13297.9,5930.7,635079
6.2583,87.9056,-26.0992,79.9062,13334.2,5887.29,642691
6.2750,87.8028,-26.1145,79.7705,13396.3,5856.43,622228
6.2917,87.679,-26.1034,79.6257,13461.7,5822,647707
6.3083,87.5481,-26.1267,79.4596,13460.4,5786.37,615092
6.3250,87.6189,-26.1987,79.4807,13543.4,5745.34,639828
6.3417,87.6506,-26.2675,79.4611,13608.7,5740.23,652538
6.3583,87.5842,-26.274,79.3686,13653.3,5738.94,646593
6.3750,87.5109,-26.2428,79.285,13710.8,5717.26,647963
6.3917,87.4798,-26.2181,79.2435,13808.9,5685,642614
6.4083,87.5292,-26.2553,79.2626,13782.5,5699.12,657091
6.4250,87.5937,-26.3429,79.2704,13750.7,5665.83,647390
6.4417,87.5004,-26.4199,79.1158,13826.6,5668.45,628898
6.4583,87.5478,-26.4576,79.1282,13897.4,5646.86,611958
6.4750,87.5737,-26.4891,79.1224,13899.7,5647.05,643018
6.4917,87.653,-26.5216,79.1728,13896.1,5613.4,702551
6.5083,87.8128,-26.5,79.3217,13823.8,5672.74,687117
6.5250,87.9535,-26.4964,79.441,13835,5638.6,692385
6.5417,88.0638,-26.401,79.5669,13836,5609.75,651268
6.5583,88.0387,-26.2967,79.5679,13772.8,5620.16,659317
6.5750,87.9049,-26.1887,79.4638,13704.7,5594.41,656488
6.5917,87.6968,-26.0603,79.2918,13613.8,5601.08,672172
6.6083,87.5678,-25.9874,79.1688,13509.9,5609.23,651327
6.6250,87.6173,-26.1081,79.1445,13458.9,5615.01,640417
6.6417,87.7918,-26.1563,79.2894,13378.7,5639.77,660379
6.6583,88.0221,-26.2837,79.4572,13272.9,5622.8,645298
6.6750,88.0321,-26.3908,79.4081,13176.8,5674.38,679732
6.6917,88.1664,-26.4884,79.4931,13081.6,5687.27,629536
6.7083,88.1207,-26.5317,79.4097,13017.6,5685.32,645370
6.7250,88.1759,-26.5703,79.4317,13024.9,5704.62,629299
