time (hours),Bz,B magnitude,Solar Wind Speed (km/s),proton density
6.183333,1.490875,3.319812,443.904693,2.714120
6.200000,1.488875,3.321375,441.987194,2.711019
6.216667,1.645688,3.401000,441.954693,2.791656
6.233333,1.749312,3.366188,442.104691,2.849987
6.250000,1.511437,3.219125,441.992179,2.729578
6.266667,1.351812,3.205375,441.726562,2.775266
6.283333,1.368563,3.161062,445.938745,2.740653
6.300000,1.298812,3.220437,448.657198,2.498366
6.316667,1.306688,3.239562,446.472807,2.551334
6.333333,1.342313,3.303125,446.028428,2.732628
6.350000,1.432375,3.272750,443.559986,2.680662
6.366667,1.281688,3.233062,442.344364,2.684358
6.383333,1.325313,3.271687,441.425618,2.704467
6.400000,1.431563,3.338187,440.467488,2.734978
6.416667,1.457625,3.335500,442.568119,2.731294
6.433333,1.660812,3.405125,442.395943,2.744544
6.450000,2.199562,3.391375,441.824067,2.783825
6.466667,1.058125,3.271563,442.709058,2.779750
6.483333,0.897625,3.300625,442.934372,2.727069
6.500000,1.857938,3.400937,443.835320,2.704625
6.516667,1.984812,3.267562,442.636252,2.761434
6.533333,1.369500,3.306625,442.123757,2.850841
6.550000,1.056812,3.296188,441.646550,2.771631
6.566667,1.327312,3.321563,442.617174,2.675328
6.583333,1.449313,3.307187,443.732801,2.619172
6.600000,1.314312,3.310125,441.667510,2.835434
6.616667,1.136938,3.285188,440.749685,2.749072
6.633333,0.981437,3.364875,441.479375,2.765541
6.650000,0.730188,3.350438,440.915005,2.809509
6.666667,0.460000,3.358125,440.810011,2.800781
6.683333,1.095125,3.404938,440.397511,2.773328
6.700000,1.154938,3.393563,439.014684,2.727975
6.716667,0.651813,3.350813,439.797488,2.667225
6.733333,0.865125,3.352000,441.547494,2.690488
6.750000,1.223000,3.426813,440.010623,2.743897
6.766667,1.434000,3.481562,437.113746,2.631181
6.783333,1.318750,3.403000,436.752180,2.562238
6.800000,1.428875,3.404250,439.163136,2.811269
6.816667,1.453187,3.309438,438.551889,2.816050
6.833333,1.475188,3.424250,437.658762,2.605647
6.850000,1.470687,3.375562,436.421255,2.688053
6.866667,1.422313,3.374437,437.367814,2.721794
6.883333,1.124438,3.377312,438.625935,2.736391
6.900000,0.834750,3.423500,437.550939,2.773578
6.916667,0.706813,3.386187,437.297811,2.808197
6.933333,0.646875,3.466625,437.438430,2.840541
6.950000,1.066312,3.400625,437.513745,2.841891
