time,L,MLT,number density,bmag,wavemags
5.149633333333333285e-01,6.194475431666666587e+00,2.111749910156666843e+01,9.263486666870107911e+01,1.317044017558575888e+02,5.306494508739513548e-04
5.179924999999999669e-01,6.196347456666666531e+00,2.112000688806666915e+01,9.282320243453979458e+01,1.314221882763667111e+02,1.002420817014865228e-03
5.210219444444444958e-01,6.198219653333333135e+00,2.112251490453333602e+01,9.282338466771443564e+01,1.316943695175675657e+02,5.123293002365885817e-04
5.240511111111111342e-01,6.200091678333333078e+00,2.112502269103333319e+01,9.685819264729830991e+01,1.314258089023434479e+02,3.560283891982494076e-04
5.270802777777777726e-01,6.201963703333333022e+00,2.112753047753333391e+01,9.282499694824218750e+01,1.310490595009757726e+02,2.118345508554360184e-04
5.301088888888888517e-01,6.203835384999999647e+00,2.113003780410000232e+01,9.282506224568685127e+01,1.311503594443313148e+02,4.995882878475048664e-04
5.331375000000000419e-01,6.205688213333333536e+00,2.113254176400000262e+01,9.282423236846923942e+01,1.309694366484339696e+02,1.272853543065322317e-03
5.361666666666666803e-01,6.207534793333333134e+00,2.113504500675000131e+01,9.282429733276367756e+01,1.308834047207033393e+02,8.869181996591353565e-04
5.391955555555555391e-01,6.209381203999999599e+00,2.113754801994999966e+01,9.282447989908854424e+01,1.309278974999987497e+02,7.460107204135519145e-04
5.422241666666666182e-01,6.211227445333332930e+00,2.114005080360000122e+01,9.282466263198853085e+01,1.311064765468738926e+02,3.873361827727439402e-04
5.452530555555555880e-01,6.213073856000000283e+00,2.114255381679999957e+01,9.282414924748738372e+01,1.310679773652330482e+02,3.740379444387427303e-04
5.482819444444444468e-01,6.214913766666666284e+00,2.114505578999999713e+01,9.282402831395467047e+01,1.310138331269543244e+02,2.617576364061398580e-04
5.513108333333333055e-01,6.216732917333333219e+00,2.114755444160000053e+01,1.001907871513365791e+02,1.305224051425795437e+02,2.990852333558693369e-04
5.543394444444444957e-01,6.218551901166667228e+00,2.115005286405000007e+01,9.282639553833007540e+01,1.306770926230491057e+02,7.770806055973371231e-04
5.573686111111111341e-01,6.220371218666667090e+00,2.115255174480000022e+01,1.021900024414062500e+02,1.303569441191430371e+02,1.032577875755468378e-03
5.603974999999999929e-01,6.222190369333333138e+00,2.115505039640000007e+01,9.995716555786157187e+01,1.302912843886717837e+02,7.827600978090400218e-04
5.634263888888888516e-01,6.224009520000000073e+00,2.115754904799999991e+01,9.282805873235066940e+01,1.295633289072260084e+02,6.668119960973097884e-04
5.664558333333333806e-01,6.225808939505070860e+00,2.116004494773905620e+01,1.010058359336856739e+02,1.298549758837878869e+02,6.607470673056119789e-04
5.694852777777777986e-01,6.227601159071765480e+00,2.116253969556389336e+01,1.021900024414062500e+02,1.295428947568361764e+02,4.704640843583366957e-04
5.725144444444444369e-01,6.229393214305106063e+00,2.116503421463869827e+01,1.021900024414062500e+02,1.298260040283203125e+02,7.864152480206335971e-04
5.755441666666666345e-01,6.231185598205156495e+00,2.116752919121356769e+01,1.021900024414062500e+02,1.296612160605456268e+02,5.918621834023038344e-04
5.785736111111111635e-01,6.232977817771851115e+00,2.117002393903840485e+01,1.021900024414062500e+02,1.298880692177709477e+02,2.788447669312854485e-04
5.816033333333333610e-01,6.234763809043775140e+00,2.117251797789154111e+01,1.043001152750651386e+02,1.296672577949246659e+02,4.278303280584045266e-04
